# 925 nm PL_38 Chip Heater Calibration Heater 12
# Chip Num PL 38 Down Structure
# Heater No = 12
# Current from = 0
# Current step = 10
# Current to   = 1300
# sleeptime (ms) = 900
# Input mode= 4
# Temp Room_ = 21.5
# Temp Chip_ = 19
# Date 2023-11-29 17:37:59
#Current  diode_1  diode_2  diode_3  diode_4 
       0    10.06    19.81     5.92    15.49 
      10    10.06    19.82     5.91    15.45 
      20    10.10    19.83     5.85    15.45 
      30    10.16    19.79     5.80    15.47 
      40    10.20    19.80     5.70    15.52 
      50    10.28    19.76     5.62    15.50 
      60    10.36    19.64     5.53    15.55 
      70    10.31    19.61     5.40    15.62 
      80    10.44    19.57     5.27    15.70 
      90    10.52    19.53     5.11    15.74 
     100    10.64    19.41     4.95    15.86 
     110    10.77    19.34     4.78    15.95 
     120    10.91    19.30     4.60    16.01 
     130    11.06    19.15     4.41    16.12 
     140    11.23    19.06     4.22    16.23 
     150    11.38    18.98     4.03    16.30 
     160    11.58    18.83     3.81    16.40 
     170    11.76    18.71     3.60    16.50 
     180    12.00    18.55     3.38    16.63 
     190    12.22    18.41     3.16    16.69 
     200    12.48    18.23     2.95    16.82 
     210    12.71    18.07     2.74    16.92 
     220    12.92    17.86     2.54    16.95 
     230    13.20    17.64     2.35    17.03 
     240    13.46    17.46     2.16    17.08 
     250    13.72    17.28     1.97    17.15 
     260    14.00    16.99     1.81    17.17 
     270    14.27    16.78     1.67    17.19 
     280    14.55    16.49     1.55    17.14 
     290    14.82    16.24     1.47    17.14 
     300    15.04    15.96     1.40    17.03 
     310    15.32    15.67     1.36    16.97 
     320    15.59    15.40     1.35    16.97 
     330    15.91    15.07     1.37    16.88 
     340    16.15    14.85     1.42    16.75 
     350    16.39    14.56     1.51    16.61 
     360    16.70    14.26     1.65    16.46 
     370    16.90    14.03     1.82    16.29 
     380    17.19    13.74     2.01    16.08 
     390    17.31    13.52     2.29    15.78 
     400    17.53    13.25     2.58    15.55 
     410    17.69    13.02     2.95    15.24 
     420    17.81    12.79     3.33    14.92 
     430    17.94    12.66     3.77    14.56 
     440    17.98    12.52     4.26    14.20 
     450    18.06    12.43     4.78    13.83 
     460    18.06    12.38     5.36    13.41 
     470    18.04    12.37     5.97    12.98 
     480    17.96    12.38     6.59    12.53 
     490    17.87    12.47     7.30    12.03 
     500    17.63    12.66     7.99    11.52 
     510    17.42    12.91     8.71    11.04 
     520    17.07    13.23     9.44    10.48 
     530    16.73    13.64    10.18     9.97 
     540    16.35    14.10    10.87     9.41 
     550    15.96    14.62    11.54     8.86 
     560    15.32    15.37    12.26     8.36 
     570    14.81    16.09    12.95     7.84 
     580    14.20    16.91    13.58     7.31 
     590    13.44    17.99    14.17     6.78 
     600    12.78    19.02    14.68     6.31 
     610    11.96    20.25    15.07     5.85 
     620    11.15    21.64    15.46     5.43 
     630    10.36    22.97    15.74     5.01 
     640     9.53    24.48    15.97     4.65 
     650     8.60    26.15    16.01     4.31 
     660     7.91    27.72    16.06     4.04 
     670     7.04    29.52    15.93     3.78 
     680     6.18    31.30    15.80     3.55 
     690     5.26    33.30    15.43     3.37 
     700     4.42    35.25    14.96     3.23 
     710     3.60    37.32    14.40     3.11 
     720     2.91    39.20    13.71     3.02 
     730     2.25    41.02    12.98     2.95 
     740     1.62    42.98    12.05     2.92 
     750     1.15    44.83    11.13     2.89 
     760     0.75    46.54    10.15     2.87 
     770     0.45    48.16     9.08     2.86 
     780     0.27    49.71     8.16     2.83 
     790     0.22    50.92     7.12     2.80 
     800     0.29    51.86     6.14     2.74 
     810     0.50    52.58     5.22     2.68 
     820     0.84    53.25     4.38     2.58 
     830     1.31    53.59     3.63     2.44 
     840     1.92    53.45     2.96     2.27 
     850     2.63    53.27     2.39     2.07 
     860     3.48    52.69     1.98     1.85 
     870     4.45    51.78     1.73     1.60 
     880     5.48    50.69     1.64     1.35 
     890     6.64    49.17     1.70     1.07 
     900     7.83    47.70     1.95     0.81 
     910     9.07    45.64     2.34     0.54 
     920    10.27    43.48     2.91     0.31 
     930    11.41    41.00     3.62     0.13 
     940    12.58    38.53     4.46     0.03 
     950    13.67    35.92     5.38     0.03 
     960    14.58    33.28     6.32     0.14 
     970    15.43    30.61     7.31     0.38 
     980    16.08    27.97     8.36     0.79 
     990    16.57    25.36     9.25     1.35 
    1000    16.78    22.87    10.15     2.17 
    1010    16.88    20.63    10.73     3.10 
    1020    16.74    18.61    11.30     4.31 
    1030    16.30    16.82    11.72     5.76 
    1040    15.51    15.29    11.94     7.61 
    1050    14.89    14.21    11.71     9.22 
    1060    13.73    13.24    11.44    11.41 
    1070    12.66    12.71    10.76    13.56 
    1080    11.40    12.47     9.93    15.86 
    1090    10.02    12.55     8.92    18.14 
    1100     8.65    12.88     7.82    20.56 
    1110     7.40    13.50     6.55    22.80 
    1120     5.97    14.25     5.24    25.00 
    1130     4.54    15.18     3.91    27.07 
    1140     3.33    16.16     2.68    28.82 
    1150     2.28    17.28     1.60    30.15 
    1160     1.53    18.45     0.80    30.93 
    1170     0.83    19.42     0.25    31.54 
    1180     0.41    20.29     0.07    31.52 
    1190     0.24    21.08     0.28    31.10 
    1200     0.30    21.51     0.93    30.21 
    1210     0.73    21.37     2.06    28.91 
    1220     1.19    21.44     3.62    26.96 
    1230     1.81    21.26     5.50    24.66 
    1240     2.74    20.46     7.93    22.14 
    1250     3.60    19.73    10.42    19.53 
    1260     4.44    19.01    13.17    16.95 
    1270     5.40    17.79    15.98    14.41 
    1280     6.31    16.48    18.78    12.15 
    1290     7.14    14.96    21.30    10.21 
    1300     7.68    13.66    23.52     8.82 
